Week,DilomAdv,DilomRev,ZorAdv,ZorRev
1, 1.10 , 22.20 , 0.99 , 24.35 
2, 0.96 , 17.62 , 0.96 , 22.91 
3, 1.12 , 20.02 , 1.04 , 21.97 
4, 1.00 , 18.80 , 0.90 , 22.17 
5, 1.19 , 21.75 , 1.04 , 24.92 
6, 1.13 , 20.02 , 1.01 , 23.05 
7, 1.15 , 21.05 , 0.93 , 19.49 
8, 1.08 , 20.99 , 0.96 , 20.35 
9, 1.25 , 24.44 , 1.06 , 23.89 
10, 0.89 , 17.35 , 0.78 , 19.48 
11, 1.27 , 24.17 , 0.88 , 21.42 
12, 0.93 , 17.36 , 0.83 , 23.18 
13, 1.21 , 23.10 , 0.97 , 20.25 
14, 1.06 , 19.94 , 1.07 , 21.57 
15, 1.21 , 21.80 , 0.92 , 22.71 
16, 1.00 , 18.05 , 0.93 , 16.32 
17, 1.23 , 22.47 , 1.12 , 26.82 
18, 1.11 , 20.50 , 1.10 , 24.33 
19, 1.12 , 20.08 , 1.00 , 20.95 
20, 1.11 , 21.27 , 1.08 , 22.60 
21, 1.03 , 20.76 , 1.05 , 19.97 
22, 1.12 , 20.27 , 1.07 , 23.00 
23, 0.86 , 15.15 , 1.11 , 24.55 
24, 1.17 , 21.46 , 0.90 , 20.07 
25, 1.17 , 21.50 , 1.10 , 21.41 
26, 1.11 , 21.11 , 0.92 , 21.11 
27, 1.16 , 21.10 , 1.06 , 24.64 
28, 1.07 , 20.25 , 0.83 , 19.68 
29, 1.12 , 21.83 , 1.02 , 20.80 
30, 1.14 , 21.63 , 1.00 , 21.79 
31, 0.99 , 18.71 , 0.96 , 22.01 
32, 1.05 , 18.34 , 1.09 , 23.55 
33, 0.96 , 19.14 , 0.98 , 20.62 
34, 1.08 , 18.55 , 0.94 , 20.58 
35, 0.97 , 19.98 , 1.15 , 23.05 
36, 1.14 , 21.79 , 1.21 , 23.79 
37, 1.33 , 24.89 , 1.05 , 21.08 
38, 1.20 , 21.05 , 0.91 , 18.26 
39, 1.18 , 22.09 , 0.99 , 23.53 
40, 1.06 , 17.99 , 0.96 , 21.76 
41, 1.06 , 19.88 , 0.93 , 20.97 
42, 1.11 , 20.34 , 1.08 , 24.68 
43, 1.06 , 21.35 , 1.08 , 22.57 
44, 0.97 , 17.05 , 0.84 , 19.40 
45, 1.04 , 19.90 , 1.02 , 21.87 
46, 1.16 , 21.13 , 0.97 , 23.21 
47, 1.10 , 20.19 , 1.03 , 22.68 
48, 1.15 , 20.45 , 1.10 , 20.23 
49, 1.03 , 20.51 , 0.98 , 18.74 
50, 1.09 , 20.30 , 1.00 , 23.85 
51, 1.17 , 21.32 , 1.00 , 20.27 
52, 0.89 , 15.62 , 1.14 , 22.06 
